4931,66,50,NULL,2,1,2411,09-04-2018,lunes 09 de abril de 2018,1,NULL
4932,744,66,NULL,2,2,2412,09-04-2018,lunes 09 de abril de 2018,1,NULL
4933,100,50,NULL,2,2,2413,09-04-2018,lunes 09 de abril de 2018,1,NULL
4934,116,50,NULL,2,2,2414,09-04-2018,lunes 09 de abril de 2018,1,NULL
4935,716,66,NULL,2,1,2415,09-04-2018,lunes 09 de abril de 2018,1,NULL
4936,101,50,NULL,2,2,2416,09-04-2018,lunes 09 de abril de 2018,1,NULL
4937,87,50,NULL,2,1,2417,09-04-2018,lunes 09 de abril de 2018,1,NULL
4938,67,50,NULL,2,1,2418,09-04-2018,lunes 09 de abril de 2018,1,NULL
4939,88,50,NULL,2,1,2419,09-04-2018,lunes 09 de abril de 2018,1,NULL
4940,759,66,NULL,2,2,2420,09-04-2018,lunes 09 de abril de 2018,1,NULL
4941,117,50,NULL,2,2,2421,09-04-2018,lunes 09 de abril de 2018,1,NULL
4942,118,50,NULL,2,2,2422,09-04-2018,lunes 09 de abril de 2018,1,NULL
4943,717,66,NULL,2,1,2423,09-04-2018,lunes 09 de abril de 2018,1,NULL
4944,760,66,NULL,2,2,2424,09-04-2018,lunes 09 de abril de 2018,1,NULL
4945,119,50,NULL,2,2,2425,09-04-2018,lunes 09 de abril de 2018,1,NULL
4946,729,66,NULL,2,1,2426,09-04-2018,lunes 09 de abril de 2018,1,NULL
4947,102,50,NULL,2,2,2427,09-04-2018,lunes 09 de abril de 2018,1,NULL
4948,761,66,NULL,2,2,2428,09-04-2018,lunes 09 de abril de 2018,1,NULL
4949,68,50,NULL,2,1,2429,09-04-2018,lunes 09 de abril de 2018,1,NULL
4950,762,66,NULL,2,2,2430,09-04-2018,lunes 09 de abril de 2018,1,NULL
4951,69,50,NULL,2,1,2431,09-04-2018,lunes 09 de abril de 2018,1,NULL
4952,718,66,NULL,2,1,2432,09-04-2018,lunes 09 de abril de 2018,1,NULL
4953,89,50,NULL,2,1,2433,09-04-2018,lunes 09 de abril de 2018,1,NULL
4954,763,50,NULL,2,1,2434,09-04-2018,lunes 09 de abril de 2018,1,NULL
4955,120,50,NULL,2,2,2435,09-04-2018,lunes 09 de abril de 2018,1,NULL
4956,103,50,NULL,2,2,2436,09-04-2018,lunes 09 de abril de 2018,1,NULL
4957,104,50,NULL,2,2,2437,09-04-2018,lunes 09 de abril de 2018,1,NULL
4958,730,66,NULL,2,1,2438,09-04-2018,lunes 09 de abril de 2018,1,NULL
4959,746,66,NULL,2,2,2439,09-04-2018,lunes 09 de abril de 2018,1,NULL
4960,70,50,NULL,2,1,2440,09-04-2018,lunes 09 de abril de 2018,1,NULL
4961,121,50,NULL,2,2,2441,09-04-2018,lunes 09 de abril de 2018,1,NULL
4962,2516,50,NULL,2,2,2442,09-04-2018,lunes 09 de abril de 2018,1,NULL
4963,71,50,NULL,2,1,2443,09-04-2018,lunes 09 de abril de 2018,1,NULL
4964,764,66,NULL,2,2,2444,09-04-2018,lunes 09 de abril de 2018,1,NULL
4965,123,50,NULL,2,2,2445,09-04-2018,lunes 09 de abril de 2018,1,NULL
4966,732,66,NULL,2,1,2446,09-04-2018,lunes 09 de abril de 2018,1,NULL
4967,719,66,NULL,2,1,2447,09-04-2018,lunes 09 de abril de 2018,1,NULL
4968,747,66,NULL,2,2,2448,09-04-2018,lunes 09 de abril de 2018,1,NULL
4969,765,66,NULL,2,2,2449,09-04-2018,lunes 09 de abril de 2018,1,NULL
4970,105,50,NULL,2,2,2450,09-04-2018,lunes 09 de abril de 2018,1,NULL
4971,72,50,NULL,2,1,2451,09-04-2018,lunes 09 de abril de 2018,1,NULL
4972,90,50,NULL,2,1,2452,09-04-2018,lunes 09 de abril de 2018,1,NULL
4973,733,66,NULL,2,1,2453,09-04-2018,lunes 09 de abril de 2018,1,NULL
4974,106,50,NULL,2,2,2454,09-04-2018,lunes 09 de abril de 2018,1,NULL
4975,734,66,NULL,2,1,2455,09-04-2018,lunes 09 de abril de 2018,1,NULL
4976,735,66,NULL,2,1,2456,09-04-2018,lunes 09 de abril de 2018,1,NULL
4977,91,50,NULL,2,1,2457,09-04-2018,lunes 09 de abril de 2018,1,NULL
4978,92,50,NULL,2,1,2458,09-04-2018,lunes 09 de abril de 2018,1,NULL
4979,124,50,NULL,2,2,2459,09-04-2018,lunes 09 de abril de 2018,1,NULL
4980,731,66,NULL,2,1,2460,09-04-2018,lunes 09 de abril de 2018,1,NULL
4981,745,66,NULL,2,2,2461,09-04-2018,lunes 09 de abril de 2018,1,NULL
4982,2817,66,NULL,2,1,2462,09-04-2018,lunes 09 de abril de 2018,1,NULL
4983,2818,50,NULL,2,1,2463,09-04-2018,lunes 09 de abril de 2018,1,NULL
4984,2819,50,NULL,2,2,2464,09-04-2018,lunes 09 de abril de 2018,1,NULL
4985,2820,66,NULL,2,1,2465,09-04-2018,lunes 09 de abril de 2018,1,NULL
4986,2821,66,NULL,2,1,2466,09-04-2018,lunes 09 de abril de 2018,1,NULL
4987,2822,50,NULL,2,2,2467,09-04-2018,lunes 09 de abril de 2018,1,NULL
4988,2823,50,NULL,2,1,2468,09-04-2018,lunes 09 de abril de 2018,1,NULL
4989,2824,50,NULL,2,2,2469,09-04-2018,lunes 09 de abril de 2018,1,NULL
4990,2825,50,NULL,2,1,2470,09-04-2018,lunes 09 de abril de 2018,1,NULL
4991,2826,66,NULL,2,2,2471,09-04-2018,lunes 09 de abril de 2018,1,NULL
4992,2827,66,NULL,2,1,2472,09-04-2018,lunes 09 de abril de 2018,1,NULL
4993,2828,66,NULL,2,2,2473,09-04-2018,lunes 09 de abril de 2018,1,NULL
4994,2829,66,NULL,2,2,2474,09-04-2018,lunes 09 de abril de 2018,1,NULL
4995,2830,66,NULL,2,2,2475,09-04-2018,lunes 09 de abril de 2018,1,NULL
