"PARCODIGO";"INSCODIGO";"PARDESCRIPCION";"PAROBSEVACION";"PARORDEN";"PARESTADO";"PARNOPARTICIPANTES"
"1";"1";"A";;"1";"1";NULL
"2";"1";"B";;"2";"1";NULL
"3";"1";"C";;"3";"1";NULL
"4";"1";"D";;"4";"1";NULL
