"ANOCODIGO";"INSCODIGO";"ANODESCRIPCION";"ANOFECHAINICIAL";"ANOFECHAFINAL";"ANOOBSERVACION";"ANOESTADO";"ANOINICIO"
"1";"1";"2017-2018";"2017-05-02";"2018-02-19";;"1";"1"
"2";"1";"2018-2019";"2018-04-01";"2019-02-20";"Nuevo año lectivo";"1";"2520"
