"CRDTQMCODIGO";"DTQMCODIGO";"USUCODIGO";"USUCODIGOACT";"QUICODIGO";"MTRNO";"MATCODIGO";"QUIPROMPARCIAL";"QUIEQUIVALENCIA80";"QUIEXAMEN";"QUIEQUIVALENCIA20";"QUIPROMQUIMESTRE";"MTRESTADO";"DTQMESTADO"
"1";"24640";"112";"112";"1";"2165";"107";"6.97";"5.58";"7.5";"1.5";"7.08";"1";"1"
"2";"24653";"112";"112";"1";"2166";"107";"6.92";"5.54";"0";"0";"5.54";"1";"1"
"3";"30248";"112";"112";"1";"2328";"211";"8.98";"7.18";"0.01";"0";"7.18";"1";"1"
"4";"30332";"112";"112";"1";"2332";"211";"7.45";"5.96";"0.01";"0";"5.96";"1";"1"
"5";"15352";"112";"112";"1";"950";"25";"8.53";"6.82";"0";"0";"6.82";"1";"1"
"6";"19187";"112";"112";"1";"1022";"45";"8.56";"6.85";"0";"0";"6.85";"1";"1"
"7";"21059";"112";"112";"1";"1166";"65";"9.6";"7.68";"0";"0";"7.68";"1";"1"
"8";"30245";"112";"112";"1";"2328";"208";"8.98";"7.18";"0.01";"0";"7.18";"1";"1"
"9";"30329";"112";"112";"1";"2332";"208";"8.12";"6.5";"0.01";"0";"6.5";"1";"1"
"10";"30246";"112";"112";"1";"2328";"209";"9.33";"7.46";"10";"2";"9.46";"1";"1"
"11";"30330";"112";"112";"1";"2332";"209";"8.49";"6.79";"0.01";"0";"6.79";"1";"1"
"12";"30247";"112";"112";"1";"2328";"210";"9.58";"7.66";"9.5";"1.9";"9.56";"1";"1"
"13";"30331";"112";"112";"1";"2332";"210";"5.84";"4.67";"0.01";"0";"4.67";"1";"1"
"14";"30250";"112";"112";"1";"2328";"213";"9.33";"7.46";"9";"1.8";"9.26";"1";"1"
"15";"30334";"112";"112";"1";"2332";"213";"6.22";"4.98";"0.01";"0";"4.98";"1";"1"
"16";"30251";"112";"112";"1";"2328";"214";"9.14";"7.31";"10";"2";"9.31";"1";"1"
"17";"30335";"112";"112";"1";"2332";"214";"8.83";"7.06";"0.01";"0";"7.06";"1";"1"
"18";"15344";"112";"112";"1";"950";"17";"9.58";"7.66";"0";"0";"7.66";"1";"1"
"19";"15347";"112";"112";"1";"950";"20";"9.41";"7.53";"0";"0";"7.53";"1";"1"
"20";"15351";"112";"112";"1";"950";"24";"0";"0";"0";"0";"0";"1";"1"
"21";"15842";"112";"112";"1";"988";"31";"9.08";"7.26";"8.38";"1.68";"8.94";"1";"1"
"22";"15855";"112";"112";"1";"989";"31";"8.63";"6.9";"7";"1.4";"8.3";"1";"1"
"23";"15868";"112";"112";"1";"990";"31";"8.5";"6.8";"8.25";"1.65";"8.45";"1";"1"
"24";"15881";"112";"112";"1";"991";"31";"8.42";"6.74";"7.25";"1.45";"8.19";"1";"1"
"25";"15894";"112";"112";"1";"992";"31";"8.09";"6.47";"7.5";"1.5";"7.97";"1";"1"
"26";"15907";"112";"112";"1";"993";"31";"8.13";"6.5";"7.63";"1.53";"8.03";"1";"1"
"27";"15920";"112";"112";"1";"994";"31";"9.79";"7.83";"8.13";"1.63";"9.46";"1";"1"
"28";"15933";"112";"112";"1";"995";"31";"8.29";"6.63";"8.63";"1.73";"8.36";"1";"1"
"29";"15946";"112";"112";"1";"996";"31";"8.4";"6.72";"9.63";"1.93";"8.65";"1";"1"
"30";"15959";"112";"112";"1";"997";"31";"9.13";"7.3";"8.5";"1.7";"9";"1";"1"
"31";"15972";"112";"112";"1";"998";"31";"8.46";"6.77";"7.5";"1.5";"8.27";"1";"1"
"32";"15985";"112";"112";"1";"999";"31";"8.17";"6.54";"7.83";"1.57";"8.11";"1";"1"
"33";"15998";"112";"112";"1";"1000";"31";"7.71";"6.17";"9.13";"1.83";"8";"1";"1"
"34";"16011";"112";"112";"1";"1001";"31";"9.5";"7.6";"7.75";"1.55";"9.15";"1";"1"
"35";"16037";"112";"112";"1";"1003";"31";"8.71";"6.97";"4.5";"0.9";"7.87";"1";"1"
"36";"16063";"112";"112";"1";"1005";"31";"9.46";"7.57";"8.13";"1.63";"9.2";"1";"1"
"37";"16076";"112";"112";"1";"1006";"31";"9.54";"7.63";"7.36";"1.47";"9.1";"1";"1"
"38";"16089";"112";"112";"1";"1007";"31";"8.67";"6.94";"8.53";"1.71";"8.65";"1";"1"
"39";"16102";"112";"112";"1";"1008";"31";"9.54";"7.63";"10";"2";"9.63";"1";"1"
"40";"16115";"112";"112";"1";"1009";"31";"9.96";"7.97";"8.4";"1.68";"9.65";"1";"1"
"41";"16128";"112";"112";"1";"1010";"31";"8.25";"6.6";"8";"1.6";"8.2";"1";"1"
"42";"16141";"112";"112";"1";"1011";"31";"9.33";"7.46";"8.75";"1.75";"9.21";"1";"1"
"43";"16154";"112";"112";"1";"1012";"31";"8.42";"6.74";"8.88";"1.78";"8.52";"1";"1"
"44";"19172";"112";"112";"1";"1021";"43";"7.58";"6.06";"0";"0";"6.06";"1";"1"
"45";"19185";"112";"112";"1";"1022";"43";"8.01";"6.41";"0";"0";"6.41";"1";"1"
"46";"19198";"112";"112";"1";"1023";"43";"6.76";"5.41";"0";"0";"5.41";"1";"1"
"47";"19419";"112";"112";"1";"1040";"43";"8.95";"7.16";"0";"0";"7.16";"1";"1"
"48";"13780";"112";"112";"1";"829";"16";"9.37";"7.5";"0";"0";"7.5";"1";"1"
"49";"13884";"112";"112";"1";"837";"16";"9.5";"7.6";"8";"1.6";"9.2";"1";"1"
"50";"15860";"112";"112";"1";"989";"36";"9.57";"7.66";"0";"0";"7.66";"1";"1"
"51";"16081";"112";"112";"1";"1006";"36";"10";"8";"0";"0";"8";"1";"1"
"52";"16159";"112";"112";"1";"1012";"36";"9.38";"7.5";"0";"0";"7.5";"1";"1"
"53";"15981";"112";"112";"1";"999";"27";"7.99";"6.39";"0";"0";"6.39";"1";"1"
"54";"19180";"112";"112";"1";"1022";"38";"8.25";"6.6";"0";"0";"6.6";"1";"1"
"55";"19183";"112";"112";"1";"1022";"41";"7.73";"6.18";"4.75";"0.95";"7.13";"1";"1"
"56";"13940";"112";"112";"1";"842";"7";"8.39";"6.71";"0";"0";"6.71";"1";"1"
"57";"14161";"112";"112";"1";"859";"7";"8.46";"6.77";"0";"0";"6.77";"1";"1"
"58";"14148";"112";"112";"1";"858";"7";"7.49";"5.99";"0";"0";"5.99";"1";"1"
"59";"9734";"111";"111";"1";"1561";"112";"7.34";"5.87";"0";"0";"5.87";"1";"1"
"60";"10006";"111";"111";"1";"1582";"111";"8.8";"7.04";"0";"0";"7.04";"1";"1"
"61";"6498";"111";"111";"1";"1312";"69";"7";"5.6";"0";"0";"5.6";"1";"1"
"62";"27612";"112";"112";"1";"2253";"140";"7.8";"6.24";"0";"0";"6.24";"1";"1"
"63";"28479";"112";"112";"1";"2304";"140";"6.6";"5.28";"0";"0";"5.28";"1";"1"
"64";"30326";"112";"112";"1";"2332";"204";"8.8";"7.04";"0";"0";"7.04";"1";"1"
"65";"30243";"112";"112";"1";"2328";"205";"8.87";"7.1";"0";"0";"7.1";"1";"1"
"66";"27154";"112";"112";"1";"2226";"141";"8.35";"6.68";"0";"0";"6.68";"1";"1"
"67";"30327";"112";"112";"1";"2332";"205";"7.8";"6.24";"0";"0";"6.24";"1";"1"
"68";"27698";"112";"112";"1";"2258";"141";"7.03";"5.62";"0";"0";"5.62";"1";"1"
"69";"27817";"112";"112";"1";"2265";"141";"7.58";"6.06";"0";"0";"6.06";"1";"1"
"70";"29893";"112";"112";"1";"2384";"171";"7.21";"5.77";"0";"0";"5.77";"1";"1"
"71";"23996";"112";"112";"1";"2115";"113";"8.31";"6.65";"0";"0";"6.65";"1";"1"
"72";"24204";"112";"112";"1";"2131";"113";"6.87";"5.5";"0";"0";"5.5";"1";"1"
"73";"24334";"112";"112";"1";"2141";"113";"7.64";"6.11";"0";"0";"6.11";"1";"1"
"74";"24360";"112";"112";"1";"2143";"113";"8.53";"6.82";"0";"0";"6.82";"1";"1"
"75";"24399";"112";"112";"1";"2146";"113";"8.05";"6.44";"0";"0";"6.44";"1";"1"
"76";"24464";"112";"112";"1";"2151";"113";"6.96";"5.57";"0";"0";"5.57";"1";"1"
"77";"27786";"112";"112";"1";"2263";"144";"9.07";"7.26";"0";"0";"7.26";"1";"1"
"78";"28160";"112";"112";"1";"2285";"144";"8.56";"6.85";"0";"0";"6.85";"1";"1"
"79";"28500";"112";"112";"1";"2305";"144";"3.4";"2.72";"0";"0";"2.72";"1";"1"
"80";"29271";"112";"112";"1";"2488";"160";"8";"6.4";"0";"0";"6.4";"1";"1"
"81";"17230";"111";"111";"1";"509";"48";"9.31";"7.45";"0";"0";"7.45";"1";"1"
"82";"16700";"111";"111";"1";"468";"41";"9.53";"7.62";"5";"1";"8.62";"1";"1"
"83";"19183";"112";"112";"1";"1022";"41";"7.73";"6.18";"0";"0";"6.18";"1";"6"
"84";"19976";"112";"112";"1";"1083";"51";"8.13";"6.5";"6";"1.2";"7.7";"1";"1"
"85";"20327";"112";"112";"1";"1110";"51";"8.83";"7.06";"8.75";"1.75";"8.81";"1";"1"
"86";"20340";"112";"112";"1";"1111";"51";"8.67";"6.94";"8.99";"1.8";"8.74";"1";"1"
"87";"20571";"112";"112";"1";"1129";"48";"7.6";"6.08";"0";"0";"6.08";"1";"1"
"88";"20574";"112";"112";"1";"1129";"51";"7.67";"6.14";"7";"1.4";"7.54";"1";"1"
"89";"21312";"112";"112";"1";"1186";"58";"8.49";"6.79";"0";"0";"6.79";"1";"1"
"90";"21338";"112";"112";"1";"1188";"58";"6.97";"5.58";"0";"0";"5.58";"1";"1"
"91";"21390";"112";"112";"1";"1192";"58";"7.97";"6.38";"0";"0";"6.38";"1";"1"
"92";"21429";"112";"112";"1";"1195";"58";"7.33";"5.86";"0";"0";"5.86";"1";"1"
"93";"20107";"112";"112";"1";"1093";"52";"7.78";"6.22";"9.25";"1.85";"8.07";"1";"1"
"94";"20289";"112";"112";"1";"1107";"52";"9.24";"7.39";"0";"0";"7.39";"1";"1"
"95";"20315";"112";"112";"1";"1109";"52";"9.41";"7.53";"0";"0";"7.53";"1";"1"
"96";"20341";"112";"112";"1";"1111";"52";"9.67";"7.74";"9.5";"1.9";"9.64";"1";"1"
"97";"15986";"112";"112";"1";"999";"32";"10";"8";"0";"0";"8";"1";"1"
"98";"19574";"112";"112";"1";"1052";"42";"8.31";"6.65";"0";"0";"6.65";"1";"1"
"99";"19925";"112";"112";"1";"1079";"42";"9.06";"7.25";"0";"0";"7.25";"1";"1"
"100";"21342";"112";"112";"1";"1188";"62";"8.24";"6.59";"0";"0";"6.59";"1";"1"
"101";"14232";"112";"112";"1";"864";"13";"7.29";"5.83";"0";"0";"5.83";"1";"1"
"102";"14388";"112";"112";"1";"876";"13";"7.46";"5.97";"0";"0";"5.97";"1";"1"
"103";"14391";"112";"112";"1";"876";"16";"7.93";"6.34";"0";"0";"6.34";"1";"1"
"104";"14228";"112";"112";"1";"864";"9";"8.07";"6.46";"0";"0";"6.46";"1";"1"
"105";"14229";"112";"112";"1";"864";"10";"8.21";"6.57";"0";"0";"6.57";"1";"1"
"106";"14231";"112";"112";"1";"864";"12";"8.96";"7.17";"0";"0";"7.17";"1";"1"
"107";"9573";"111";"111";"1";"1549";"107";"5.05";"4.04";"0";"0";"4.04";"1";"1"
"108";"9729";"111";"111";"1";"1561";"107";"5.08";"4.06";"0";"0";"4.06";"1";"1"
"109";"19146";"112";"112";"1";"1019";"43";"6.89";"5.51";"0";"0";"5.51";"1";"1"
"110";"7353";"111";"111";"1";"1378";"97";"7.73";"6.18";"0";"0";"6.18";"1";"1"
"111";"8679";"111";"111";"1";"1480";"97";"8.27";"6.62";"0";"0";"6.62";"1";"1"
"112";"8744";"111";"111";"1";"1485";"97";"8.33";"6.66";"0";"0";"6.66";"1";"1"
"113";"9316";"111";"111";"1";"1529";"110";"7.67";"6.14";"0";"0";"6.14";"1";"1"
"114";"11187";"111";"111";"1";"229";"10";"8.36";"6.69";"0";"0";"6.69";"1";"1"
"115";"13018";"111";"111";"1";"370";"28";"7.22";"5.78";"0";"0";"5.78";"1";"1"
"116";"13135";"111";"111";"1";"379";"28";"7.83";"6.26";"7.5";"1.5";"7.76";"1";"1"
"117";"13139";"111";"111";"1";"379";"32";"9.53";"7.62";"0";"0";"7.62";"1";"1"
"118";"13465";"111";"111";"1";"404";"33";"7.33";"5.86";"0";"0";"5.86";"1";"1"
"119";"16203";"111";"111";"1";"430";"38";"7.73";"6.18";"0";"0";"6.18";"1";"1"
"120";"16208";"111";"111";"1";"430";"43";"8.05";"6.44";"0";"0";"6.44";"1";"1"
"121";"17235";"111";"111";"1";"509";"53";"7.11";"5.69";"0";"0";"5.69";"1";"1"
"122";"17248";"111";"111";"1";"510";"53";"7.12";"5.7";"0";"0";"5.7";"1";"1"
"123";"17352";"111";"111";"1";"518";"53";"7.31";"5.85";"0";"0";"5.85";"1";"1"
"124";"17159";"111";"111";"1";"503";"55";"9.82";"7.86";"0";"0";"7.86";"1";"1"
"125";"17237";"111";"111";"1";"509";"55";"9.04";"7.23";"0";"0";"7.23";"1";"1"
"126";"17250";"111";"111";"1";"510";"55";"9.33";"7.46";"0";"0";"7.46";"1";"1"
"127";"17289";"111";"111";"1";"513";"55";"9.53";"7.62";"0";"0";"7.62";"1";"1"
"128";"17328";"111";"111";"1";"516";"55";"8.5";"6.8";"0";"0";"6.8";"1";"1"
"129";"17354";"111";"111";"1";"518";"55";"9.42";"7.54";"0";"0";"7.54";"1";"1"
"130";"17156";"111";"111";"1";"503";"52";"9.28";"7.42";"0";"0";"7.42";"1";"1"
"131";"17325";"111";"111";"1";"516";"52";"8.31";"6.65";"0";"0";"6.65";"1";"1"
"132";"18482";"111";"111";"1";"605";"62";"8.93";"7.14";"0";"0";"7.14";"1";"1"
"133";"10003";"111";"111";"1";"1582";"108";"6.62";"5.3";"0";"0";"5.3";"1";"1"
"134";"10009";"111";"111";"1";"1582";"114";"8.41";"6.73";"0";"0";"6.73";"1";"1"
"135";"13946";"112";"112";"1";"842";"13";"8.48";"6.78";"0";"0";"6.78";"1";"1"
"136";"14154";"112";"112";"1";"858";"13";"8.09";"6.47";"0";"0";"6.47";"1";"1"
"137";"14167";"112";"112";"1";"859";"13";"8.87";"7.1";"0";"0";"7.1";"1";"1"
"138";"9982";"111";"111";"1";"1580";"113";"8.86";"7.09";"0";"0";"7.09";"1";"1"
"139";"9579";"111";"111";"1";"1549";"113";"8.82";"7.06";"0";"0";"7.06";"1";"1"
"140";"9735";"111";"111";"1";"1561";"113";"8.66";"6.93";"0";"0";"6.93";"1";"1"
"141";"5638";"111";"111";"1";"1246";"67";"7.53";"6.02";"0";"0";"6.02";"1";"1"
"142";"6327";"111";"111";"1";"1299";"67";"8.21";"6.57";"0.01";"0";"6.57";"1";"1"
"143";"6496";"111";"111";"1";"1312";"67";"6.73";"5.38";"0";"0";"5.38";"1";"1"
"144";"6548";"111";"111";"1";"1316";"67";"6.47";"5.18";"0.01";"0";"5.18";"1";"1"
"145";"6499";"111";"111";"1";"1312";"70";"7.43";"5.94";"0";"0";"5.94";"1";"1"
"146";"6500";"111";"111";"1";"1312";"71";"6.92";"5.54";"0";"0";"5.54";"1";"1"
"147";"6904";"111";"111";"1";"1343";"72";"9.13";"7.3";"0";"0";"7.3";"1";"1"
"148";"6995";"111";"111";"1";"1350";"72";"9.01";"7.21";"0";"0";"7.21";"1";"1"
"149";"6985";"111";"111";"1";"1350";"2";"7.08";"5.66";"0";"0";"5.66";"1";"1"
"150";"7194";"111";"111";"1";"1366";"94";"8.74";"6.99";"4";"0.8";"7.79";"1";"1"
"151";"7233";"111";"111";"1";"1369";"94";"6.35";"5.08";"1";"0.2";"5.28";"1";"1"
"152";"7350";"111";"111";"1";"1378";"94";"6.25";"5";"0";"0";"5";"1";"1"
"153";"8676";"111";"111";"1";"1480";"94";"6.04";"4.83";"0";"0";"4.83";"1";"1"
"154";"8683";"111";"111";"1";"1480";"101";"8.53";"6.82";"0";"0";"6.82";"1";"1"
"155";"8748";"111";"111";"1";"1485";"101";"8.51";"6.81";"0";"0";"6.81";"1";"1"
"156";"9312";"111";"111";"1";"1529";"106";"8.24";"6.59";"0";"0";"6.59";"1";"1"
"157";"9319";"111";"111";"1";"1529";"113";"8.79";"7.03";"0";"0";"7.03";"1";"1"
"158";"9578";"111";"111";"1";"1549";"112";"7.81";"6.25";"0";"0";"6.25";"1";"1"
"159";"10367";"111";"111";"1";"1610";"108";"6.35";"5.08";"1";"0.2";"5.28";"1";"1"
"160";"10406";"111";"111";"1";"1613";"108";"6.08";"4.86";"1.5";"0.3";"5.16";"1";"1"
"161";"343";"111";"111";"1";"1658";"119";"6.51";"5.21";"0";"0";"5.21";"1";"1"
"162";"1042";"111";"111";"1";"1696";"228";"5.64";"4.51";"0";"0";"4.51";"1";"1"
"163";"1029";"111";"111";"1";"1696";"121";"6.38";"5.1";"0";"0";"5.1";"1";"1"
"164";"1031";"111";"111";"1";"1696";"123";"7.99";"6.39";"0";"0";"6.39";"1";"1"
"165";"1032";"111";"111";"1";"1696";"124";"5.61";"4.49";"1";"0.2";"4.69";"1";"1"
"166";"1043";"111";"111";"1";"1696";"229";"8.56";"6.85";"0";"0";"6.85";"1";"1"
"167";"1033";"111";"111";"1";"1696";"126";"7.78";"6.22";"0";"0";"6.22";"1";"1"
"168";"1044";"111";"111";"1";"1696";"230";"8.67";"6.94";"0";"0";"6.94";"1";"1"
"169";"1208";"111";"111";"1";"1706";"120";"4.24";"3.39";"0";"0";"3.39";"1";"1"
"170";"1442";"111";"111";"1";"1719";"120";"7.06";"5.65";"0";"0";"5.65";"1";"1"
"171";"1460";"111";"111";"1";"1720";"120";"5.27";"4.22";"0";"0";"4.22";"1";"1"
"172";"1211";"111";"111";"1";"1706";"123";"6.89";"5.51";"1";"0.2";"5.71";"1";"1"
"173";"1463";"111";"111";"1";"1720";"123";"7.55";"6.04";"0.39";"0.08";"6.12";"1";"1"
"174";"1553";"111";"111";"1";"1725";"123";"9";"7.2";"4.55";"0.91";"8.11";"1";"1"
"175";"1589";"111";"111";"1";"1727";"123";"7.59";"6.07";"0.39";"0.08";"6.15";"1";"1"
"176";"1625";"111";"111";"1";"1729";"123";"8.05";"6.44";"0.45";"0.09";"6.53";"1";"1"
"177";"1215";"111";"111";"1";"1706";"128";"3.52";"2.82";"0";"0";"2.82";"1";"1"
"178";"1221";"111";"111";"1";"1706";"227";"6.87";"5.5";"0";"0";"5.5";"1";"1"
"179";"1455";"111";"111";"1";"1719";"227";"8.1";"6.48";"0";"0";"6.48";"1";"1"
"180";"1441";"111";"111";"1";"1719";"119";"7.03";"5.62";"0";"0";"5.62";"1";"1"
"181";"1459";"111";"111";"1";"1720";"119";"6.99";"5.59";"0";"0";"5.59";"1";"1"
"182";"1443";"111";"111";"1";"1719";"121";"7.55";"6.04";"0";"0";"6.04";"1";"1"
"183";"1461";"111";"111";"1";"1720";"121";"8.64";"6.91";"0";"0";"6.91";"1";"1"
"184";"1450";"111";"111";"1";"1719";"130";"8.16";"6.53";"0";"0";"6.53";"1";"1"
"185";"1457";"111";"111";"1";"1719";"229";"8.36";"6.69";"1.05";"0.21";"6.9";"1";"1"
"186";"1788";"111";"111";"1";"1738";"124";"6.8";"5.44";"1.4";"0.28";"5.72";"1";"1"
"187";"2561";"111";"111";"1";"1782";"141";"8.41";"6.73";"1.95";"0.39";"7.12";"1";"1"
"188";"2743";"111";"111";"1";"1792";"232";"7.72";"6.18";"1.7";"0.34";"6.52";"1";"1"
"189";"2828";"111";"111";"1";"1797";"232";"6.97";"5.58";"4.67";"0.93";"6.51";"1";"1"
"190";"2862";"111";"111";"1";"1799";"232";"6.45";"5.16";"6.27";"1.25";"6.41";"1";"1"
"191";"2816";"111";"111";"1";"1797";"141";"7.6";"6.08";"1.05";"0.21";"6.29";"1";"1"
"192";"2850";"111";"111";"1";"1799";"141";"7.15";"5.72";"1.5";"0.3";"6.02";"1";"1"
"193";"3288";"111";"111";"1";"1825";"136";"9.15";"7.32";"0";"0";"7.32";"1";"1"
"194";"3340";"111";"111";"1";"1828";"138";"9.03";"7.22";"1";"0.2";"7.42";"1";"1"
"195";"3343";"111";"111";"1";"1828";"141";"7.87";"6.3";"1.6";"0.32";"6.62";"1";"1"
"196";"4235";"111";"111";"1";"1833";"195";"7.11";"5.69";"0.5";"0.1";"5.79";"1";"1"
"197";"4349";"111";"111";"1";"1839";"195";"8.19";"6.55";"1.3";"0.26";"6.81";"1";"1"
"198";"4501";"111";"111";"1";"1847";"195";"7.66";"6.13";"0.5";"0.1";"6.23";"1";"1"
"199";"4520";"111";"111";"1";"1848";"195";"7.69";"6.15";"1.5";"0.3";"6.45";"1";"1"
"200";"4558";"111";"111";"1";"1850";"195";"7.23";"5.78";"0.5";"0.1";"5.88";"1";"1"
"201";"4596";"111";"111";"1";"1852";"195";"7.1";"5.68";"1";"0.2";"5.88";"1";"1"
"202";"4305";"111";"111";"1";"1837";"188";"6.43";"5.14";"0";"0";"5.14";"1";"1"
"203";"4309";"111";"111";"1";"1837";"192";"8.38";"6.7";"0";"0";"6.7";"1";"1"
"204";"4477";"111";"111";"1";"1846";"189";"5.96";"4.77";"0";"0";"4.77";"1";"1"
"205";"4534";"111";"111";"1";"1849";"189";"6.2";"4.96";"1.55";"0.31";"5.27";"1";"1"
"206";"4490";"111";"111";"1";"1846";"233";"8.33";"6.66";"0";"0";"6.66";"1";"1"
"207";"4547";"111";"111";"1";"1849";"233";"7.67";"6.14";"1";"0.2";"6.34";"1";"1"
"208";"4479";"111";"111";"1";"1846";"191";"6.95";"5.56";"0";"0";"5.56";"1";"1"
"209";"4481";"111";"111";"1";"1846";"194";"4.88";"3.9";"0.01";"0";"3.9";"1";"1"
"210";"4483";"111";"111";"1";"1846";"196";"5.58";"4.46";"0.01";"0";"4.46";"1";"1"
"211";"4486";"111";"111";"1";"1846";"199";"7.48";"5.98";"0";"0";"5.98";"1";"1"
"212";"17247";"111";"111";"1";"510";"52";"9.1";"7.28";"0";"0";"7.28";"1";"1"
"213";"17233";"111";"111";"1";"509";"51";"7.42";"5.94";"0";"0";"5.94";"1";"1"
"214";"17153";"111";"111";"1";"503";"49";"8.53";"6.82";"0";"0";"6.82";"1";"1"
"215";"21393";"112";"112";"1";"1192";"61";"8.11";"6.49";"8.75";"1.75";"8.24";"1";"1"
"216";"10005";"111";"111";"1";"1582";"110";"9.78";"7.82";"0";"0";"7.82";"1";"1"
"217";"20314";"112";"112";"1";"1109";"51";"8.18";"6.54";"0";"0";"6.54";"1";"1"
"218";"1469";"111";"111";"1";"1720";"131";"7.95";"6.36";"6.75";"1.35";"7.71";"1";"1"
"219";"4805";"111";"111";"1";"1915";"217";"6.61";"5.29";"0";"0";"5.29";"1";"1"
"220";"5120";"111";"111";"1";"1930";"217";"8.33";"6.66";"0";"0";"6.66";"1";"1"
"221";"4011";"111";"111";"1";"1896";"160";"8.11";"6.49";"0";"0";"6.49";"1";"1"
"222";"4810";"111";"111";"1";"1915";"236";"6.16";"4.93";"0";"0";"4.93";"1";"1"
"223";"5125";"111";"111";"1";"1930";"236";"6.14";"4.91";"0";"0";"4.91";"1";"1"
"224";"4812";"111";"111";"1";"1915";"238";"7.48";"5.98";"0";"0";"5.98";"1";"1"
"225";"5127";"111";"111";"1";"1930";"238";"7.65";"6.12";"0";"0";"6.12";"1";"1"
"226";"4795";"111";"111";"1";"1915";"207";"6.73";"5.38";"0";"0";"5.38";"1";"1"
"227";"5110";"111";"111";"1";"1930";"207";"7.66";"6.13";"0";"0";"6.13";"1";"1"
"228";"4799";"111";"111";"1";"1915";"211";"7.05";"5.64";"0.01";"0";"5.64";"1";"1"
"229";"5114";"111";"111";"1";"1930";"211";"7.64";"6.11";"0.01";"0";"6.11";"1";"1"
"230";"5115";"111";"111";"1";"1930";"212";"7.32";"5.86";"1";"0.2";"6.06";"1";"1"
"231";"30464";"112";"112";"1";"2513";"66";"7.73";"6.18";"6.5";"1.3";"7.48";"1";"1"
"232";"21320";"112";"112";"1";"1186";"66";"8.1";"6.48";"0";"0";"6.48";"1";"1"
"233";"21346";"112";"112";"1";"1188";"66";"7.57";"6.06";"0";"0";"6.06";"1";"1"
"234";"21738";"112";"112";"1";"1940";"73";"7.59";"6.07";"0";"0";"6.07";"1";"1"
"235";"21764";"112";"112";"1";"1942";"73";"7.66";"6.13";"0";"0";"6.13";"1";"1"
"236";"22011";"112";"112";"1";"1961";"73";"7.11";"5.69";"0";"0";"5.69";"1";"1"
"237";"23906";"112";"112";"1";"2108";"114";"8.32";"6.66";"0";"0";"6.66";"1";"1"
"238";"23997";"112";"112";"1";"2115";"114";"6.64";"5.31";"0";"0";"5.31";"1";"1"
"239";"22154";"112";"112";"1";"1973";"73";"8.07";"6.46";"0";"0";"6.46";"1";"1"
"240";"22206";"112";"112";"1";"1977";"73";"8.23";"6.58";"0";"0";"6.58";"1";"1"
"241";"22427";"112";"112";"1";"1994";"73";"8.12";"6.5";"0";"0";"6.5";"1";"1"
"242";"24589";"112";"112";"1";"2161";"108";"7.91";"6.33";"0";"0";"6.33";"1";"1"
"243";"24615";"112";"112";"1";"2163";"108";"8.65";"6.92";"0";"0";"6.92";"1";"1"
"244";"24654";"112";"112";"1";"2166";"108";"7.47";"5.98";"0";"0";"5.98";"1";"1"
"245";"24732";"112";"112";"1";"2172";"108";"8.66";"6.93";"0";"0";"6.93";"1";"1"
"246";"25213";"112";"112";"1";"2209";"108";"9.41";"7.53";"0";"0";"7.53";"1";"1"
"247";"26402";"112";"112";"1";"2448";"228";"7.21";"5.77";"0";"0";"5.77";"1";"1"
"248";"26762";"112";"112";"1";"2469";"228";"8.34";"6.67";"0";"0";"6.67";"1";"1"
"249";"26834";"112";"112";"1";"2473";"228";"8.87";"7.1";"0";"0";"7.1";"1";"1"
"250";"28102";"112";"112";"1";"2282";"136";"8.24";"6.59";"0";"0";"6.59";"1";"1"
"251";"28170";"112";"112";"1";"2286";"136";"8.01";"6.41";"0";"0";"6.41";"1";"1"
"252";"28982";"112";"112";"1";"2359";"156";"8.91";"7.13";"0";"0";"7.13";"1";"1"
"253";"30260";"112";"112";"1";"2328";"237";"9.17";"7.34";"0";"0";"7.34";"1";"1"
"254";"30344";"112";"112";"1";"2332";"237";"9.14";"7.31";"0";"0";"7.31";"1";"1"
"255";"30254";"112";"112";"1";"2328";"217";"9.67";"7.74";"0";"0";"7.74";"1";"1"
"256";"30253";"112";"112";"1";"2328";"216";"9.83";"7.86";"0";"0";"7.86";"1";"1"
"257";"29273";"112";"112";"1";"2488";"162";"9.07";"7.26";"8.1";"1.62";"8.88";"1";"1"
"258";"29272";"112";"112";"1";"2488";"161";"8.9";"7.12";"9.75";"1.95";"9.07";"1";"1"
"259";"21316";"112";"112";"1";"1186";"62";"9.16";"7.33";"0";"0";"7.33";"1";"1"
"260";"13949";"112";"112";"1";"842";"16";"9.12";"7.3";"0";"0";"7.3";"1";"1"
"261";"13793";"112";"112";"1";"830";"16";"9.52";"7.62";"0";"0";"7.62";"1";"1"
"262";"14066";"112";"112";"1";"851";"16";"9.63";"7.7";"0";"0";"7.7";"1";"1"
"263";"14924";"112";"112";"1";"917";"26";"8.4";"6.72";"0";"0";"6.72";"1";"1"
"264";"15899";"112";"112";"1";"992";"36";"9.42";"7.54";"0";"0";"7.54";"1";"1"
"265";"15990";"112";"112";"1";"999";"36";"9.43";"7.54";"0";"0";"7.54";"1";"1"
"266";"19578";"112";"112";"1";"1052";"46";"7.53";"6.02";"0";"0";"6.02";"1";"1"
"267";"20072";"112";"112";"1";"1090";"56";"8.73";"6.98";"0";"0";"6.98";"1";"1"
