2655;6893;6717;PADRE
2656;6894;6717;PADRE
2657;6895;6717;PADRE
2658;6896;6717;PADRE
2659;6897;6717;PADRE
2660;6898;6717;PADRE
2661;6899;6717;PADRE
2662;6900;6717;PADRE
2663;6901;6717;PADRE
2664;6902;6717;PADRE
2665;6903;6717;PADRE
2666;6904;6717;PADRE
2667;6905;6717;PADRE
2668;6906;6717;PADRE
2669;6907;6717;PADRE
2670;6908;6717;PADRE
2671;6909;6717;PADRE
2672;6910;6717;PADRE
2673;6911;6717;PADRE
2674;6912;6717;PADRE
2675;6913;6717;PADRE
2676;6914;6717;PADRE
2677;6915;6717;PADRE
2678;6916;6717;PADRE
2679;6917;6717;PADRE
2680;6918;6717;PADRE
2681;6919;6717;PADRE
2682;6920;6717;PADRE
2683;6921;6717;PADRE
2684;6922;6717;PADRE
2685;6923;6717;PADRE
2686;6924;6717;PADRE
2687;6925;6717;PADRE
2688;6926;6717;PADRE
2689;6927;6717;PADRE
2690;6928;6717;PADRE
2691;6929;6717;PADRE
2692;6930;6717;PADRE
2693;6931;6717;PADRE
2694;6932;6717;PADRE
2695;6933;6717;PADRE
